item	kind	upstream_ref	current_delta	abi_adaptation	target_owner	status	validation
libudev	local-shim	local	xv6-owned compatibility shim; no imported source tree, patch file, or upstream delta	no	local-shim	done	cmake --build build-x86_64/ports --target port-libinput -j2
libseat	local-shim	local	xv6-owned compatibility shim; no imported source tree, patch file, or upstream delta	no	local-shim	done	cmake --build build-x86_64/ports --target port-libseat -j2
libevdev	local-shim	local	xv6-owned compatibility shim; no imported source tree, patch file, or upstream delta	no	local-shim	done	cmake --build build-x86_64/ports --target port-libevdev -j2
libinput	local-shim	local	xv6-owned compatibility shim; no imported source tree, patch file, or upstream delta	no	local-shim	done	cmake --build build-x86_64/ports --target port-libinput -j2
libdrm	imported-source	ports/libdrm/src@libdrm-2.4.134-7-g843048a 843048aac648 main; original https://gitlab.freedesktop.org/mesa/drm.git	source content now matches original merge-base; removed xv6 DRM node discovery fallbacks, PRIME ioctl fallbacks, faux bus naming, sysfs fallbacks, and trace diagnostics from imported source	no	kernel-abi/sysfs	done	cmake --build build-x86_64/ports --target port-libdrm-clean; cmake --build build-x86_64/ports --target port-libdrm -j2
drm_info	imported-source	ports/drm_info/src@v2.10.0 462458e0f292; original https://gitlab.freedesktop.org/emersion/drm_info.git	imported src has no xv6 marker, source delta, or patch file; wrapper-only xv6 marker	no	build-wrapper	done	cmake --build build-x86_64/ports --target port-drm_info -j2
kmscube	imported-source	ports/kmscube/src@c42763b c42763bc2cf5 master; original https://gitlab.freedesktop.org/mesa/kmscube.git	source content now matches original master; removed local libpng feature patch and wrapper disable knob, then exposed libpng static zlib dependency through libpng pkg-config metadata	no	build-wrapper	done	cmake --build build-x86_64/ports --target port-libpng -j2; cmake --build build-x86_64/ports --target port-kmscube -j2
libepoxy	imported-source	ports/libepoxy/src@1.5.10-33-g05001ee 05001ee156ca xv6-gpu-runtime; original https://github.com/anholt/libepoxy.git	source content matches original master despite historical add/remove xv6 resolver fallback commits; imported src has no current xv6 marker, source delta, or patch file	no	kernel-abi	done	cmake --build build-x86_64/ports --target port-libepoxy -j2
wayland-src	imported-source	ports/wayland-src/src@25da99a 25da99a7e545 main; original https://github.com/ElectronSpark/v6-wayland.git	source content now matches fork main; removed xv6 Wayland trace diagnostics, send/read logging, AF_UNIX poll retry workaround, eager flush, and cursor shm resize copy workaround from imported source	no	kernel-abi/vm-abi	done	cmake --build build-x86_64/ports --target port-wayland-host-clean; cmake --build build-x86_64/ports --target port-wayland-host -j2; cmake --build build-x86_64/ports --target port-wayland-libs-clean; cmake --build build-x86_64/ports --target port-wayland-libs -j2
wayland-libs	imported-source	ports/wayland-src/src@25da99a 25da99a7e545 main; original https://github.com/ElectronSpark/v6-wayland.git	shared Wayland source content matches fork main; wrapper-only library/scanner split remains local	no	build-wrapper	done	cmake --build build-x86_64/ports --target port-wayland-libs -j2
wayland-protocols	data-or-headers	ports/wayland-protocols/src@911ab50 911ab509edf6 main; original https://gitlab.freedesktop.org/wayland/wayland-protocols.git	imported protocol data has no source delta, patch file, or xv6 marker; fallback/DRM terms are upstream protocol text	no	sysroot-data-headers	done	cmake --build build-x86_64/ports --target port-wayland-protocols -j2
xkeyboard-config	data-or-headers	host /usr/share/X11/xkb	host xkeyboard-config data copied into sysroot; no imported source tree, patch file, or xv6 marker	no	sysroot-data-headers	done	cmake --build build-x86_64/ports --target port-xkeyboard-config -j2
libxkbcommon	imported-source	ports/libxkbcommon/src@151c367 151c367afb21 master; original https://github.com/xkbcommon/libxkbcommon.git	imported src has no xv6 marker, source delta, or patch file; fallback/HACK/procfs hits are upstream docs, tests, and tool behavior	no	kernel-abi	done	cmake --build build-x86_64/ports --target port-libxkbcommon -j2
xv6-gbm	local-shim	local	empty xv6-owned local shim directory in this checkout; no active port target or imported source delta	no	local-shim	done	no active target
mesa	imported-source	ports/mesa/src@5ca5a64d 5ca5a64d5546 v6-port; original https://gitlab.freedesktop.org/mesa/mesa.git	source content restored to original Mesa base 0319be8b except whitespace hygiene needed for diff checks; removed xv6 Wayland EGL, D3D12, virgl, GBM, DRM loader, and Chromium video path adaptations from imported source; libva fallback moved to wrapper option	no	build-wrapper/kernel-abi	done	cmake --build build-x86_64/ports --target port-mesa-clean; cmake --build build-x86_64/ports --target port-mesa -j2
weston	imported-source	ports/weston/src@15.0.1-12-g47630479 47630479175f v6-port; original https://gitlab.freedesktop.org/wayland/weston.git	source content restored to original Weston 15.0.1; removed xv6 desktop-shell UI, DRM cursor state plumbing, Xwayland popup placement, Chromium fullscreen tracing, and other imported-source adaptations; xv6 runtime config/Xwayland staging remains in wrapper/data	no	build-wrapper/runtime-data	done	cmake --build build-x86_64/ports --target port-weston-clean; cmake --build build-x86_64/ports --target port-weston -j2
